Date / Time,City,State,Shape,Duration,Summary,Posted
4/30/2020 11:30,San Diego,CA,Formation,5 minutes,Three objects in exact formation,6/25/2020
4/30/2020 9:17,Orlando,FL,Circle,3 minutes,There was circular lights flying in a straight line crossing the moon. ((Starlink satellites?)),6/25/2020
4/30/2020 9:17,Davie,FL,Light,3 minutes,Backyard UFO Fleet night sky sighting! ((Starlink satellites?)),6/25/2020
4/30/2020 9:14,Tifton,GA,Light,3 minutes,30+ dots of light flying ons behind the other in a straight line heading south east. ((Starlink satellites?)),6/25/2020
4/30/2020 3:28,Boise,ID,,,MADAR Node 111,6/25/2020
4/30/2020 3:15,Clearwater,FL,Other,30 minutes,Got up to 3:15am was attracted to look at a “star like” that suddenly went to a blinding bright envelope of bright light.,6/25/2020
4/30/2020 2:30,Bloomington,IL,Light,15 minutes,Spotted an indigo light to the east of the city. encounter lasted roughtly 15 minutes.,6/25/2020
4/30/2020 0:11,Pueblo,CO,,,MADAR Node 83,6/25/2020
4/30/2020 0:11,El Paso,TX,Unknown,10 seconds,"It was around 12:11 in the morning and I was just hanging out in my backyard with my dog. I saw an object flying very low, around 100 o",6/25/2020
4/30/2020,Pompano Beach,FL,Oval,10 minutes,I was looking to the West and all of a sudden by I think the planet Venus??? There was 12 lights flying parallel in a straight line for,6/25/2020
4/29/2020 23:55,Tulsa,OK,Circle,7seconds,Object appeared Southwest moving very very quick to the northeast. After the object made it a ways to the northeast it turn quite abrup,6/25/2020
4/29/2020 23:35,Banning,CA,Light,5 min,Driving down a dark road we spotted a helicopter chasing a light at high speeds,6/25/2020
4/29/2020 23:20,Citrus Heights,CA,Light,5 minutes,2 star objects appear then disappear while moving vertical into the sky.,6/25/2020
4/29/2020 23:00,Midland,TX,Sphere,10 minutes,Second sighting in 1 week. Strait line. Very high speed. Side observer also in sphere. Moving over 7.500 MPH. Saw by neighbor and us. S,6/25/2020
4/29/2020 22:30,Kelowna (Canada),BC,Cone,15 minutes,Space station like object looks like it’s continuously on a loop only seeing one object at a time 10 of them. ((Starlink satellites?)),6/25/2020
4/29/2020 22:00,Fort Jones,CA,Light,1-2 hours,"Multiple &quot;star&quot; like lights moving throughout night sky, then ascending into sky. ((Starlink satellites?))",6/25/2020
4/29/2020 22:00,Fort Jones,CA,Light,1-2 hours,First noticed a very bright light hovering in the sky. Then noticed some star like lights moving. ((Starlink satellites?)),6/25/2020
4/29/2020 22:00,Cape Coral,FL,Light,30 minutes,"Light moving sporadically over SW Florida coast. ((NUFORC Note: We suspect either Venus, or Sirius. PD))",6/25/2020
4/29/2020 21:40,Geneva,FL,Light,5 Minutes,We saw 50+ dots of light traveling in perfect unison one after the othe. ((Starlink satellites?)),6/25/2020
4/29/2020 21:40,Port Saint Lucie,FL,Oval,30 seconds,Several lights in a straight line and then disappearing above the stars. ((Starlink satellites?)),6/25/2020
4/29/2020 21:30,Woodbury,GA,Light,10 minutes,String of tiny lights in sky approx. 50 to 75 in single file straight line extremely high up. ((Starlink satellites?)),6/25/2020
4/29/2020 21:30,Salem,OR,Light,,My mom woke me up around 9:30 ish and told me to &quot;come look at this ufo hurry.&quot; Went outside and it looked like a super brigh,6/25/2020
4/29/2020 21:30,Vero Beach,FL,Light,10 minutes,While fishing on the Indian River near Johns island 30-40 lights were observed heading N to S. ((Starlink satellites?)),6/25/2020
4/29/2020 21:25,Los Angeles,CA,Fireball,10-15 seconds,"Bright, orange/reddish light spotted moving over East LA",6/25/2020
4/29/2020 21:25,Mount Pleasant,SC,Formation,20 seconds,We saw 6 lighted objects moving in a straight line towards a dimmer light and then disappeared.,6/25/2020
4/29/2020 21:15,Ponte Vedra Beach,FL,Light,5 minutes,Fleet of 30 crafts traveling in a row. ((Starlink satellites?)),6/25/2020
4/29/2020 21:00,Birmingham,AL,Circle,Night,About 20 Craftsin the sky moving at a fast rate in a single filed line. ((Starlink satellites??)),6/25/2020
4/29/2020 20:45,Richmond,TX,Diamond,2 minutes,i noticed a straight line of stars i thought then i noticed they were moving in perfect formation. ((Starlink satellites?)),6/25/2020
4/29/2020 20:40,Murfreesboro,TN,Formation,5 minutes,Straight line formation of 30 objects. ((Starlink satellites?)),6/25/2020
4/29/2020 20:35,Waynesboro,TN,Unknown,3 minutes,I saw a fast moving star light object and small sized object moving rapidly across the sky. ((Starlink satellites?)),6/25/2020
4/29/2020 19:18,Melbourne,FL,Light,4 minutes,Line of traveling white lights disappear one by one over Melbourne FL.,6/25/2020
4/29/2020 18:34,Fayetteville,AR,,,MADAR Node 136,6/25/2020
4/29/2020 16:45,Holt,FL,Rectangle,45 seconds,Witnessed oblong metallic object sit motionless in sky for 30 seconds before slowly flying away.,6/25/2020
4/29/2020 16:00,Tacoma,WA,Diamond,1 hour,See a whole fleet of UFO's all flying in a straight line. ((Starlink satellites?)),6/25/2020
4/29/2020 9:45,West Jordan,UT,Cylinder,30 minutes,I was walking northbound and observed a white light (much like Venus in brightness) slowly travelli g both and a very slowly speed. I g,6/25/2020
4/29/2020 4:15,Frostproof,FL,Light,3 seconds,I saw a very bright very green light descend over Lake Clinch.,6/25/2020
4/29/2020 3:18,Santa Fe,NM,,,MADAR Node 78,6/25/2020
4/29/2020 0:45,Carson City,NV,Sphere,20 minutes,Bright Object jumping back and forth in sky followed by 3 star like diagonally lined object hovering in the sky.,6/25/2020
4/29/2020 0:30,Ewa Beach,HI,Light,2 seconds,"White light, with orange trails on each side.",6/25/2020
4/28/2020 0:00,Hammonton,NJ,Formation,South Jersey,they travel very fast in single line in the sky traveling from the west. ((Starlink satellites?)),6/25/2020
4/28/2020 23:20,Trafalgar,IN,Circle,45 sec,Helicopter chasing red large round object in the sky.,6/25/2020
4/28/2020 23:15,Courtenay (Canada),BC,Light,15 minutes,"I watched them go by, they seem to be approximately the same distance apart. In a line. T ((Starlink satellites?))",6/25/2020
4/28/2020 23:00,Yerevan (Armenia),,Triangle,1 minute,"3 red dot lights keeping their triangle shape and spinning in circles, i saw this while i was smoking outside on my balcony,my apartmen",6/25/2020
4/28/2020 22:10,Wilmington,NC,Unknown,5 minutes,"10 white lights in formation, observed over Wilmington NC. ((Starlink satellites?))",6/25/2020
4/28/2020 22:00,Belton,SC,Circle,5 minutes,We saw (what I counted) 12 round orbs following one another at an exact distance from one another ((Starlink satellites??)),6/25/2020
4/28/2020 22:00,Millington,TN,Light,More than 30 minutes,"Bright singular light hovering, disappearing, then reappearing in minutes",6/25/2020
4/28/2020 22:00,Taylors,SC,Formation,5 minutes,String of lights formation. Traveling west to east. ((Starlink satellites?)),6/25/2020
4/28/2020 21:58,Iowa Park,TX,Light,4 minutes,It looked like a string of white lights evenly spaced apart. ((Starlink satellites?)),6/25/2020
4/28/2020 21:49,Kamay,TX,Light,1.5 minutes,I saw a line of about 8 to 10 star-like looking objects. They were moving in an upward angle towards south. ((Starlink satellites??),6/25/2020
4/28/2020 21:45,Iowa Park,TX,Formation,1.5 minutes,19 starry objects in a line vanish. ((Starlink satellites??),6/25/2020
4/28/2020 21:45,Lawton,OK,Formation,5 minutes,Linear light formation traveling east. ((Starlink satellites??),6/25/2020
4/28/2020 21:35,Leicester,NC,Formation,5 minutes,A string of fast moving lights moving rapidly from north to south. ((Starlink satellites??),6/25/2020
4/28/2020 21:30,Folly Beach,SC,Light,3 minutes,Approx. y 40 white lights in a straight line moving from right to left all disappearing at a certain point. ((Starlink satellites?)),6/25/2020
4/28/2020 21:30,Greensboro,NC,Formation,5 minutes,"23 unidentified flying objects in single file formation, flying at a high rate of speed. ((Starlink satellites?))",6/25/2020
4/28/2020 21:30,Richlands,NC,Light,15 minutes,lights evenly spaced traveling west to east. for aprox 15 min.. ((Starlink satellites??),6/25/2020
4/28/2020 21:30,Elkview,WV,Light,30 seconds,5-6 star like objects in a straight line moving across the sky from west to south east. ((Starlink satellites>)),6/25/2020
