datetime,city,state,country,shape,duration,summary,posted,latitude,longitude
4/30/2020 0:11,El Paso,TX,us,Unknown,10 seconds,"It was around 12:11 in the morning and I was just hanging out in my backyard with my dog. I saw an object flying very low, around 100 o",6/25/2020,31.7601,-106.4923
4/30/2020,Pompano Beach,FL,us,Oval,10 minutes,I was looking to the West and all of a sudden by I think the planet Venus??? There was 12 lights flying parallel in a straight line for,6/25/2020,26.2315,-80.1261
4/29/2020 23:55,Tulsa,OK,us,Circle,7seconds,Object appeared Southwest moving very very quick to the northeast. After the object made it a ways to the northeast it turn quite abrup,6/25/2020,36.1553,-95.9921
4/29/2020 23:35,Banning,CA,us,Light,5 min,Driving down a dark road we spotted a helicopter chasing a light at high speeds,6/25/2020,33.9255,-116.8767
4/29/2020 23:20,Citrus Heights,CA,us,Light,5 minutes,2 star objects appear then disappear while moving vertical into the sky.,6/25/2020,38.6774,-121.3006
4/29/2020 23:00,Midland,TX,us,Sphere,10 minutes,Second sighting in 1 week. Strait line. Very high speed. Side observer also in sphere. Moving over 7.500 MPH. Saw by neighbor and us. S,6/25/2020,31.9974,-102.078
4/29/2020 22:30,Kelowna (Canada),BC,us,Cone,15 minutes,Space station like object looks like itâ€™s continuously on a loop only seeing one object at a time 10 of them. ((Starlink satellites?)),6/25/2020,,
4/29/2020 22:00,Fort Jones,CA,us,Light,1-2 hours,"Multiple &quot;star&quot; like lights moving throughout night sky, then ascending into sky. ((Starlink satellites?))",6/25/2020,41.6051,-122.8432
4/29/2020 22:00,Fort Jones,CA,us,Light,1-2 hours,First noticed a very bright light hovering in the sky. Then noticed some star like lights moving. ((Starlink satellites?)),6/25/2020,41.6051,-122.8432
4/29/2020 22:00,Cape Coral,FL,us,Light,30 minutes,"Light moving sporadically over SW Florida coast. ((NUFORC Note: We suspect either Venus, or Sirius. PD))",6/25/2020,26.6315,-81.9598
4/29/2020 21:40,Planada,FL,us,Light,5 Minutes,We saw 50+ dots of light traveling in perfect unison one after the othe. ((Starlink satellites?)),6/25/2020,37.2938,-120.3238
4/29/2020 21:40,Port St. Lucie,FL,us,Oval,30 seconds,Several lights in a straight line and then disappearing above the stars. ((Starlink satellites?)),6/25/2020,27.2733,-80.3421
4/29/2020 21:30,Woodbury,GA,us,Light,10 minutes,String of tiny lights in sky approx. 50 to 75 in single file straight line extremely high up. ((Starlink satellites?)),6/25/2020,32.984,-84.583
4/29/2020 21:30,Salem,OR,us,Light,,My mom woke me up around 9:30 ish and told me to &quot;come look at this ufo hurry.&quot; Went outside and it looked like a super brigh,6/25/2020,29.8875,-83.4121
4/29/2020 21:30,Vero Beach,FL,us,Light,10 minutes,While fishing on the Indian River near Johns island 30-40 lights were observed heading N to S. ((Starlink satellites?)),6/25/2020,27.6389,-80.3891
4/29/2020 21:25,Los Angeles,CA,us,Fireball,10-15 seconds,"Bright, orange/reddish light spotted moving over East LA",6/25/2020,34.0522,-118.2433
4/29/2020 21:25,Mount Pleasant,SC,us,Formation,20 seconds,We saw 6 lighted objects moving in a straight line towards a dimmer light and then disappeared.,6/25/2020,30.6583,-84.6918
4/29/2020 21:15,Ponte Vedra Beach,FL,us,Light,5 minutes,Fleet of 30 crafts traveling in a row. ((Starlink satellites?)),6/25/2020,30.2428,-81.3828
4/29/2020 21:00,Birmingham,AL,us,Circle,Night,About 20 Craftsin the sky moving at a fast rate in a single filed line. ((Starlink satellites??)),6/25/2020,33.5229,-86.8077
4/29/2020 20:45,Richmond,TX,us,Diamond,2 minutes,i noticed a straight line of stars i thought then i noticed they were moving in perfect formation. ((Starlink satellites?)),6/25/2020,37.5408,-77.4339
4/29/2020 20:40,Murfreesboro,TN,us,Formation,5 minutes,Straight line formation of 30 objects. ((Starlink satellites?)),6/25/2020,35.846,-86.3914
4/29/2020 20:35,Waynesboro,TN,us,Unknown,3 minutes,I saw a fast moving star light object and small sized object moving rapidly across the sky. ((Starlink satellites?)),6/25/2020,33.09,-82.0158
4/29/2020 19:18,Melbourne,FL,us,Light,4 minutes,Line of traveling white lights disappear one by one over Melbourne FL.,6/25/2020,-37.8136,144.9631
4/29/2020 18:34,Fayetteville,AR,us,,,MADAR Node 136,6/25/2020,36.0619,-94.1606
4/29/2020 16:45,Holt,FL,us,Rectangle,45 seconds,Witnessed oblong metallic object sit motionless in sky for 30 seconds before slowly flying away.,6/25/2020,,
4/29/2020 16:00,Tacoma,WA,us,Diamond,1 hour,See a whole fleet of UFO's all flying in a straight line. ((Starlink satellites?)),6/25/2020,47.2531,-122.4415
4/29/2020 9:45,West Jordan,UT,us,Cylinder,30 minutes,I was walking northbound and observed a white light (much like Venus in brightness) slowly travelli g both and a very slowly speed. I g,6/25/2020,40.6095,-111.9799
4/29/2020 4:15,Frostproof,FL,us,Light,3 seconds,I saw a very bright very green light descend over Lake Clinch.,6/25/2020,27.7399,-81.536
4/29/2020 3:18,Santa Fe,NM,us,,,MADAR Node 78,6/25/2020,35.6921,-105.9396
4/29/2020 0:45,Carson City,NV,us,Sphere,20 minutes,Bright Object jumping back and forth in sky followed by 3 star like diagonally lined object hovering in the sky.,6/25/2020,39.1646,-119.7669
4/29/2020 0:30,Ewa Beach,HI,us,Light,2 seconds,"White light, with orange trails on each side.",6/25/2020,21.3123,-158.0048
4/28/2020 0:00,Hammonton,NJ,us,Formation,South Jersey,they travel very fast in single line in the sky traveling from the west. ((Starlink satellites?)),6/25/2020,39.6366,-74.8027
4/28/2020 23:20,Trafalgar,IN,us,Circle,45 sec,Helicopter chasing red large round object in the sky.,6/25/2020,39.4154,-86.1581
4/28/2020 23:15,Courtenay,BC,us,Light,15 minutes,"I watched them go by, they seem to be approximately the same distance apart. In a line. T ((Starlink satellites?))",6/25/2020,49.6828,-124.9925
4/28/2020 23:00,Yerevan (Armenia),,us,Triangle,1 minute,"3 red dot lights keeping their triangle shape and spinning in circles, i saw this while i was smoking outside on my balcony,my apartmen",6/25/2020,,
4/28/2020 22:10,Wilmington,NC,us,Unknown,5 minutes,"10 white lights in formation, observed over Wilmington NC. ((Starlink satellites?))",6/25/2020,34.2367,-77.9462
4/28/2020 22:00,Belton,SC,us,Circle,5 minutes,We saw (what I counted) 12 round orbs following one another at an exact distance from one another ((Starlink satellites??)),6/25/2020,31.0564,-97.4638
4/28/2020 22:00,Millington,TN,us,Light,More than 30 minutes,"Bright singular light hovering, disappearing, then reappearing in minutes",6/25/2020,35.3414,-89.91
4/28/2020 22:00,Taylors,SC,us,Formation,5 minutes,String of lights formation. Traveling west to east. ((Starlink satellites?)),6/25/2020,34.9198,-82.3017
4/28/2020 21:58,Iowa Park,TX,us,Light,4 minutes,It looked like a string of white lights evenly spaced apart. ((Starlink satellites?)),6/25/2020,33.9512,-98.6691
4/28/2020 21:49,Kamay,TX,us,Light,1.5 minutes,I saw a line of about 8 to 10 star-like looking objects. They were moving in an upward angle towards south. ((Starlink satellites??),6/25/2020,33.8577,-98.7923
4/28/2020 21:45,Iowa Park,TX,us,Formation,1.5 minutes,19 starry objects in a line vanish. ((Starlink satellites??),6/25/2020,33.9512,-98.6691
4/28/2020 21:45,Lawton,OK,us,Formation,5 minutes,Linear light formation traveling east. ((Starlink satellites??),6/25/2020,37.8709,-80.9777
4/28/2020 21:35,Leicester,NC,us,Formation,5 minutes,A string of fast moving lights moving rapidly from north to south. ((Starlink satellites??),6/25/2020,52.6333,-1.1333
4/28/2020 21:30,Folly Beach,SC,us,Light,3 minutes,Approx. y 40 white lights in a straight line moving from right to left all disappearing at a certain point. ((Starlink satellites?)),6/25/2020,32.656,-79.9411
4/28/2020 21:30,Greensboro,NC,us,Formation,5 minutes,"23 unidentified flying objects in single file formation, flying at a high rate of speed. ((Starlink satellites?))",6/25/2020,36.0727,-79.7939
4/28/2020 21:30,Richlands,NC,us,Light,15 minutes,lights evenly spaced traveling west to east. for aprox 15 min.. ((Starlink satellites??),6/25/2020,37.8662,-80.483
4/28/2020 21:30,Elkview,WV,us,Light,30 seconds,5-6 star like objects in a straight line moving across the sky from west to south east. ((Starlink satellites>)),6/25/2020,38.438,-81.4844
4/28/2020 21:30,Fordyce,AR,us,Light,5-10min,Lights traveling. ((Starlink satellites??),6/25/2020,33.8129,-92.4124
4/28/2020 21:30,Louisville,KY,us,Light,5 MINUTES,Numerous lights moving in a single file seen in the nighttime sky. ((Starlink satellites?)),6/25/2020,38.25,-85.7667
4/28/2020 21:20,Wichita,KS,us,Formation,Minutes,Saw a bunch of round bright lights in formation across the whole sky..((Starlink satellites??),6/25/2020,37.686,-97.3356
4/28/2020 21:19,Charleston,WV,us,Light,About 2 minutes,Approximately 10 lights located high in the sky traveling simultaneously NW to SE. ((Starlink satellites?)),6/25/2020,38.3512,-81.6384
4/28/2020 21:15,North Augusta,SC,us,Light,10 minutes,Long string of lights traveling for south west to the north east. Evenly spaced apart. ((Starlink satellites?)),6/25/2020,33.5139,-81.957
4/28/2020 21:15,Boiling Spring Lakes,NC,us,Other,90-120 seconds,"Numerous objects, similar in size and brightness to stars at night, moving rapidly in a northwest to southeast arc, then disappearing.",6/25/2020,34.0307,-78.0675
4/28/2020 21:09,Watsonville,CA,us,,,MADAR Node 105,6/25/2020,36.9102,-121.7569
4/28/2020 21:00,Mays Landing,NJ,us,Circle,20 seconds,30 silent bright lights moving fast in a row. ((Starlink satellites?)),6/25/2020,39.4521,-74.7275
4/28/2020 21:00,Easley,SC,us,Light,18 minutes,50 light anomalies headed north east in PERFECT FORMATION AND SPACING apart. ((Starlink satellites??),6/25/2020,34.8304,-82.6038
4/28/2020 21:00,Baltimore,MD,us,Circle,10 seconds,Bright circular lights flying in unison. ((Starlink satellites?)),6/25/2020,39.2904,-76.6123
4/28/2020 21:00,Merrillville,IN,us,Light,1:45,UFOâ€™s Might be Observing Elon Muskâ€™s StarLink satellites!,6/25/2020,41.5073,-87.3634
4/28/2020 20:55,Scottâ€™s Valley,CA,us,Chevron,5-10 seconds,"Large, dim, chevron shaped craft seen at night traveling north and accompanied by an oblong craft traveling very fast",6/25/2020,,
4/28/2020 20:51,Newark,DE,us,Light,1 minute,Lights moving evenly in single file at a fast pace. ((Starlink satellites?)),6/25/2020,40.7315,-74.1744
4/28/2020 20:50,Pueblo,CO,us,Light,2-3 minutes,Traveling lights over Pueblo. ((Starlink satellites??),6/25/2020,38.2654,-104.6104
4/28/2020 20:45,Medford,OR,us,Fireball,10 seconds,Flaming object traveling extremely quickly from east to west duration lasting between 3 and 8 seconds descended towards Jacksonville.,6/25/2020,42.3265,-122.8722
4/28/2020 20:45,Beaverton,OR,us,Sphere,15 seconds,"Appeared out of nowhere, slighyly above the tree line, crossed over roadway, east to west. White ball of light, crossed quickly then sp",6/25/2020,45.4866,-122.7956
4/28/2020 20:45,Cottonwood,AZ,us,Disk,5 seconds,"flew from East to West in straight line, flat circular object with dim white lights around edges. Seem to become brighter and then va",6/25/2020,34.7454,-112.0262
4/28/2020 20:40,Salem,OR,us,Circle,2 minutes,"I was driving on Cordon Rd, from Ward Dr to State St when I saw it. It was going perpendicular of my driving. It was just below the clo",6/25/2020,44.939,-123.0393
4/28/2020 20:30,Albuquerque,NM,us,Light,2 minutes,UFO - Red light hovers over Sandia Mountain then at low it changes to two different colors and dissappears!!,6/25/2020,35.0842,-106.6492
4/28/2020 20:30,Dixon,NM,us,Light,5min,"A string of lights symmetrical in distance apart, moving quick across the sky and then fading away. ((Starlink satellites?))",6/25/2020,36.1967,-105.8852
4/28/2020 20:27,Tulsa,OK,us,Triangle,58 seconds,Photos of ufo hidden in cloud bank after thunderstorm.,6/25/2020,36.1553,-95.9921
4/28/2020 20:26,Spencer,OK,us,Disk,30-45 seconds,"There was a single line of 13 saucer shaped disc headed east, there was no no noise. ((Starlink satellites??)",6/25/2020,35.5227,-97.378
4/28/2020 20:10,Palmer Lake,CO,us,Light,,There was a line of craft perfectly spaced traveling across the sky. ((Starlink satellites?)),6/25/2020,39.1015,-104.8821
4/28/2020 20:00,Trinidad,CA,us,Disk,5 seconds,"Disk object seen flying at high rate of speed at low angle towards ocean. Surrounded by huge flames. Colored orange, yellow, blue, whit",6/25/2020,37.1681,-104.5065
4/28/2020 20:00,Hope Mills,NC,us,Formation,20 Seconds,A perfectly straight line of bright lights were flying by overhead then ascended into outer space. ((Starlink satellites?)),6/25/2020,34.9752,-78.9512
4/28/2020 18:00,Gresham,OR,us,Cigar,5 seconds,"Object was heading from east to west at an angle of descent. Was moving fast, unit it vanished. Entire object was lit up as a single li",6/25/2020,45.4967,-122.4276
4/28/2020 16:00,Baker City,OR,us,Formation,45 minutes,I have never seen any thing like this and I use my binoculars several times a week.,6/25/2020,44.7745,-117.831
4/28/2020 15:00,Eugene,OR,us,Circle,Snap shot,4-28-20 3:10 pm I took three photos of a commercial plane flying East past our moon which was visible at the time. In the second photo,6/25/2020,44.0522,-123.0912
4/28/2020 12:00,Magnolia Park,FL,us,Changing,11 minutes,Large white and green shape low in sky see in magnolia park fl,6/25/2020,,
4/28/2020 11:15,Denver,CO,us,Light,20 seconds,I was sitting outside viewing the norther sky when I noticed eight lights in the shape of the tip of an arrow ^ but facing downward. T,6/25/2020,,
4/28/2020 11:00,Granite Quarry,NC,us,Sphere,8-10 seconds,Driving south on hwy 52 in Granite Quarry NC. 11:00am looked to the left and noticed a round shiney object 2 miles away and a few miles,6/25/2020,35.6132,-80.4447
4/28/2020 11:00,Lake Quivira,KS,us,Sphere,2 minutes,"During the morning we saw a UFO fly over us, black and transparent almost. It disappeared after a few minutes. Was weirdly shaped",6/25/2020,39.047,-94.7721
4/28/2020 10:59,Portland,OR,us,,,MADAR Node 66,6/25/2020,45.516,-122.6814
4/28/2020 10:50,Ontario,OR,us,Light,15 seconds,Satellite accelerated and changed directions around a seperate satellite very suddenly and quickly.,6/25/2020,,
4/28/2020 9:30,Wilson,NC,us,Light,10,20 lights flying single file evenly apart. ((Starlink satellites?)),6/25/2020,38.8273,-98.4752
4/28/2020 9:30,Statesboro,GA,us,Fireball,5 mins,Several craft was shooting into the air and it lasted about 5 mins. It looked like a chain of lights. ((Starlink satellites?)),6/25/2020,32.4488,-81.7778
4/28/2020 7:20,Selinsgrove,PA,us,Sphere,15 seconds,"Large Blue Sphere Over Susquehanna River, Selinsgrove PA, in the early morning hours of April 28, 2020",6/25/2020,40.8011,-76.8662
4/28/2020 2:10,Hermitage,PA,us,Light,5 minutes,bright stationary star dims and brightens several times,6/25/2020,41.2314,-80.4526
4/28/2020 0:10,SÃ¤ve,,us,Triangle,00:10-00:27,prick vÃ¤nder pÃ¥ himelen WTF.,6/25/2020,,
4/27/2020 23:30,Kent,WA,us,Circle,3-5 minutes,"Walked out side looking up at the night sky and thought to myself, wow thereâ€™s a lot of stars tonight. Well then I realized that one of",6/25/2020,,
4/27/2020 23:30,Maple Falls,WA,us,Unknown,15 minutes,Last night we were outside and saw an object moving across the sky. ((Starlink satellites?))o,6/25/2020,48.9242,-122.0773
4/27/2020 23:00,Burnaby (Canada),BC,us,Light,one hour,Several star-like lights travelling across sky with one that sped up to avoid collision into another. ((Starlink satellites?)),6/25/2020,,
4/27/2020 23:00,Rural Municipality of Carmichael No. 109,CA,us,Light,30 seconds,It looked like the sheriffs helicopter with its spotlight on which is common in my area. Absolutely no no noise. It was flying direct,6/25/2020,49.39,-109.25
4/27/2020 23:00,Fayetteville,GA,us,Egg,20 minutes,"Bright object over Atlanta, GA.",6/25/2020,36.0619,-94.1606
4/27/2020 22:45,Craryville,TN,us,Formation,5 minutes,"I was driving home around 10:45 pm. I got off exit 134 in Carryville, Tn and over Covelake there were 3 orange lights. At first they we",6/25/2020,42.1747,-73.5833
4/27/2020 22:40,Raymond,WA,us,Other,15-20 minutes,"24 lights from one spot in the sky, heading W S and E. ((Starlink satellites?))",6/25/2020,43.107,-78.6672
4/27/2020 22:00,Lansdale,PA,us,Cigar,25 minutes,UFO'S playing in the sky.,6/25/2020,40.2416,-75.2837
4/27/2020 22:00,"Marshfield, New York",MO,us,Light,Apx. 10 minutes,Apx 22:00 went out and looked up and saw a line of lights moving in a straight line. ((Starlink satellites?)),6/25/2020,42.543,-78.8414
4/27/2020 22:00,Los Angeles,CA,us,Circle,1 hour,"It wasa Round Black Moon 45 degrees WNW with some yellow light coming through.

The more West it moved it started fading away.",6/25/2020,34.0522,-118.2433
4/27/2020 21:30,Kansas City,KS,us,Formation,15 seconds,1 object with 6 lights or 6 smaller objects in a perfectly straight line moving West to east ((Starlink satellites?)),6/25/2020,39.0998,-94.5786
4/27/2020 21:20,Jefferson City,MO,us,Light,5-7mins,A straight line of many multiple lights directly overhead. ((Starlink satellites?)),6/25/2020,38.5767,-92.1736
4/27/2020 21:15,Chariton,IA,us,Light,3 minutes,Line of 30-40 white lights moving single file through the sky from NW to SE,6/25/2020,41.0144,-93.3035
4/27/2020 21:15,Wentzville,MO,us,Circle,1 minute,30-50 lights flew from west to east in a straight line disappearing overhead. ((Starlink satellites?)),6/25/2020,38.811,-90.8529
4/27/2020 21:15,Chesterfield,MO,us,Formation,10 seconds,Star like formations moving quickly in sets of 3 across sky. ((Starlink satellites?)),6/25/2020,38.6624,-90.5433
4/27/2020 21:14,Warsaw,MO,us,Other,5 min 2 times,Truman Dam Missouri string of lights. ((Starlink satellites?)),6/25/2020,52.2333,21.0167
4/27/2020 21:10,Brentwood,TN,us,Formation,2 minutes,little bright dots were lining up and heading to west and flying upwards and disappeared. ((Starlink satellites?)),6/25/2020,45.2224,-63.2897
