latitude,longitude,geometry,city,zip,dst,geopoint,state,timezone
37.643406,-77.80709,Point,Crozier,23039,1,"37.643406,-77.80709",VA,-5
40.033944,-75.12118,Point,Philadelphia,19120,1,"40.033944,-75.12118",PA,-5
40.513794,-76.10833,Point,Shartlesville,19554,1,"40.513794,-76.10833",PA,-5
35.350962,-82.494187,Point,Hendersonville,28971,1,"35.350962,-82.494187",NC,-5
35.719923,-77.926691,Point,Wilson,27895,1,"35.719923,-77.926691",NC,-5
42.177359,-111.217381,Point,Dingle,83233,1,"42.177359,-111.217381",ID,-7
29.927675,-95.60547,Point,Houston,77065,1,"29.927675,-95.60547",TX,-6
37.666078,-95.45681,Point,Chanute,66720,1,"37.666078,-95.45681",KS,-6
37.795395,-97.27309,Point,Kechi,67067,1,"37.795395,-97.27309",KS,-6
35.174099,-103.18444,Point,Bard,88411,1,"35.174099,-103.18444",NM,-7
36.233655,-115.06881,Point,Las Vegas,89115,1,"36.233655,-115.06881",NV,-8
33.238378,-100.57389,Point,Jayton,79528,1,"33.238378,-100.57389",TX,-6
31.095889,-91.97899,Point,Dupont,71329,1,"31.095889,-91.97899",LA,-6
31.938233,-91.70832,Point,Wisner,71378,1,"31.938233,-91.70832",LA,-6
32.130124,-92.06755,Point,Columbia,71418,1,"32.130124,-92.06755",LA,-6
34.679542,-93.61788,Point,Sims,71969,1,"34.679542,-93.61788",AR,-6
45.915993,-119.33008,Point,Umatilla,97882,1,"45.915993,-119.33008",OR,-8
40.187554,-121.1152,Point,Canyondam,95923,1,"40.187554,-121.1152",CA,-8
38.076051,-82.73975,Point,Adams,41201,1,"38.076051,-82.73975",KY,-5
42.187577,-85.42621,Point,Scotts,49088,1,"42.187577,-85.42621",MI,-5
40.957955,-82.12114,Point,West Salem,44287,1,"40.957955,-82.12114",OH,-5
38.793335,-82.96046,Point,Lucasville,45699,1,"38.793335,-82.96046",OH,-5
27.146963,-82.425512,Point,Laurel,34272,1,"27.146963,-82.425512",FL,-5
43.070808,-75.59912,Point,Sherrill,13461,1,"43.070808,-75.59912",NY,-5
41.493473,-79.3902,Point,Tionesta,16353,1,"41.493473,-79.3902",PA,-5
40.827635,-78.36046,Point,Houtzdale,16651,1,"40.827635,-78.36046",PA,-5
41.850657,-78.60663,Point,Gifford,16732,1,"41.850657,-78.60663",PA,-5
25.637132,-80.31641,Point,Miami,33158,1,"25.637132,-80.31641",FL,-5
40.754302,-73.97955,Point,New York,10173,1,"40.754302,-73.97955",NY,-5
33.88759,-80.01013,Point,Turbeville,29162,1,"33.88759,-80.01013",SC,-5
40.768922,-77.17854,Point,Beavertown,17813,1,"40.768922,-77.17854",PA,-5
39.934047,-75.405987,Point,Glen Riddle Lima,19037,1,"39.934047,-75.405987",PA,-5
40.453886,-76.12911,Point,Bernville,19506,1,"40.453886,-76.12911",PA,-5
43.696188,-85.30996,Point,Rodney,49342,1,"43.696188,-85.30996",MI,-5
33.306606,-87.453224,Point,Peterson,35478,1,"33.306606,-87.453224",AL,-6
34.145939,-87.373241,Point,Delmar,35551,1,"34.145939,-87.373241",AL,-6
36.167179,-86.76777,Point,Nashville,37213,1,"36.167179,-86.76777",TN,-6
38.413384,-82.277401,Point,Huntington,25713,1,"38.413384,-82.277401",WV,-5
37.04413,-87.48219,Point,Crofton,42217,1,"37.04413,-87.48219",KY,-6
