datetime,city,state,country,shape,duration_seconds,duration_hours_min,comments,date_posted,latitude,longitude 
6/27/1997 20:00,north babylon (long island),ny,us,triangle,1215,20:15,To whom it may concern my name is((Name deleted)). On the night of June 27 1997 me and my friend (Deleted) saw a U.F.O.  I can tell,1/28/1999,40.7163889,-73.3222222
6/27/1997 20:30,fountain hills,az,us,other,900,15 minutes,Brother in law of MUFON Investigator sees large black object hovering stationary over mountains in the NE,1/28/1999,33.6116667,-111.7166667
6/27/1998 20:06,east amwell,nj,,circle,300,5 minutes,While playing football in the backyard with my sons my 9 year old son asked me what i Thought  this circular black mass in the sky was,11/21/1998,40.430833,-74.836944
6/27/1998 20:50,east amwell township,nj,,oval,600,aprox 10min,the craft seemed to float parallel to the hills very very slowly and at a constant speed then it seemed to turn or &quot;widen&quot; so that one,11/21/1998,40.430833,-74.836944
6/27/1998 21:15,trenton (hamilton township),nj,us,disk,300,5 minutes,The craft hovered over a neighbors home.,11/21/1998,40.2169444,-74.7433333
6/27/1998 22:40,penfield,ny,us,circle,120,minute,A small bright object accross the sky and disappeared. No glamorous close up sighting but extremely high for an airplane much much t,11/21/1998,43.1302778,-77.4758333
6/27/1999 0:14,hesperia,ca,us,fireball,5,5 sec.,Bright Bluish-white fireball was seen very low above the Southwest horizon. From here that would be in the direction of Fontana or Onta,7/5/1999,34.4263889,-117.3
6/27/1999 22:00,overland park,ks,us,circle,120,1 1/2 minutes,My brother and I saw a circle that moved made a trail and disappeared in a minute.,3/21/2003,38.9822222,-94.6705556
6/27/1999 22:30,port angeles,wa,us,sphere,20,1to 20 sec,Me-LOKING FROM CAMPER-SKY LIGHT-SOUTH TO NORTH WEST,2/16/2000,48.1183333,-123.4294444
6/27/1999 23:30,vacaville (near),ca,us,diamond,1800,app 30 minutes,Three women in a car had a diamond shaped UFO hover less than 30 feet over their car.  The object was observeed to shift shape bewteen,7/5/1999,38.3566667,-121.9866667
6/27/1999 23:42,ashland,me,us,triangle,120,2 min,I was standing outside when I saw a light in the distance.  It was very far away headed in a NE direction.  It was moving very slowly.,7/5/1999,46.6311111,-68.4066667
6/28/1985 5:00,gander area (canada),nf,,sphere,600,10 minutes,06/28/85  Newfoundland Canada. Saw a large spherical shaped object hovering for about ten minutes.,6/12/2007,48.951186,-54.619242
6/28/1992 14:00,jackson,mi,us,cylinder,120,2 minutes ?,Late eighties or early eighties day time low flying silver cylinder UFO flying perpendicular to ground,10/30/2006,42.2458333,-84.4013889
6/28/1995 21:00,portland,me,us,changing,1200,20 min,It was still light out  we sat under it for 3 min,3/10/2011,43.6613889,-70.2558333
6/28/1995 21:45,new providence,nj,us,,120,1-2 min.,Dentist witnesses large craft w/ 15-20 windows or lights.  Light beamed at ground; whooshing sound.  Excellentt report.,11/2/1999,40.6983333,-74.4019444
6/28/1995 22:20,irving,tx,us,,420,7 min.,Man driving S to Oakville sees obj. w/ tiny lights on bottom flashing light on top moving N suddenly reverse course.  Good rept.,11/2/1999,32.8138889,-96.9486111
6/28/1995 22:25,tacoma,wa,us,,30,30 sec.,Man repts. two white lights &quot;like a star&quot; move overhead to SE fade from sight.  Same thing next night. (Possible satellites??),11/2/1999,47.2530556,-122.4430556
6/28/1996 3:00,baltimore,md,us,,60,1 minute,Man views &quot;huge&quot; cigar shaped craft thru binoculars.  Obj wavers revealing more saucer-like structure. Lit by moon.  No lights.,11/2/1999,39.2902778,-76.6125
6/28/1996 19:00,tempe,az,us,changing,1800,30 minutes,Huge pearl-like object over South Mountain,8/30/2013,33.4147222,-111.9086111
6/28/1996 22:00,walled lake,mi,us,light,420,5-7 min,Blinking light moved W to E.  Faded out came back dropped &quot;real quick&quot; when plane approached then went back up behind it.,11/2/1999,42.5377778,-83.4811111
6/28/1997 8:00,harvey&#39s lake,pa,,other,10800,2 to 3 hours,I may have been abducted with the time differential but have no recollection of missing time. 500 Lights On Object0: Yes,10/31/2008,41.363333,-76.043889
6/28/1997 12:00,wilcox,az,,cylinder,7200,2 hours,hovering cylinder object,8/24/2010,32.252852,-109.832012
6/28/1997 18:00,springfield,oh,us,disk,60,one minute,I was at a friend&#39s house sitting on the back patio.  The time of day was sunset although it was still bright out.  I was sitting down,1/11/2002,39.9241667,-83.8088889
6/28/1998 2:30,blossburg (5 miles east of),pa,us,light,60,one (1) minute,Sudden brilliant light faded to very dim blue light which travelled slowly north.,8/5/2001,41.6794444,-77.0641667
6/28/1998 5:00,ellicott city,md,us,sphere,360,6:00,glowing golden with red flashes at 78 degrees north east. Alt  about 2000 feet . had wobbling effect when red fashes occoured about eve,11/21/1998,39.2672222,-76.7986111
6/28/1998 22:00,craig (5 miles east of),mt,us,oval,10,10 seconds,On the above date and time myself and two others were camping on my property 5 miles east of Craig Mt. in the Big Belt Mts. The sky w,8/5/2001,47.0744444,-111.9625
6/28/1998 22:00,fitchburg,ma,us,circle,300,5 minutes,There was an extremely bright white light - in a very cloudy sky. It was skipping about in the sky very fast couldn&#39t keep track of it,11/21/1998,42.5833333,-71.8027778
6/28/1998 23:00,central point,or,us,light,5,05 seconds,late June 1998   two bright  &quot;stars&quot;  briefly chase each other over Southern Oregon,9/2/2005,42.3761111,-122.9152778
6/28/1998 23:00,goat island/isle of palm (between&#44 intracoastal waterway),sc,,fireball,10,@10 seconds,saw a glowing sphere with a tail shoot across the sky from the West to East (from US toward Atlantic Ocean),11/1/1998,33.836081,-81.163724
6/28/1998 23:20,sacramento,ca,us,cigar,900,15 minutes,With binoculars I saw a flat object with several steady white lights and two or more flashing red and white lights.,11/21/1998,38.5816667,-121.4933333
6/28/1999 13:30,gulf of mexico,fl,,unknown,1500,25 min,Radar Tracking of unknown object.,7/23/2000,30.036754,-84.336621
6/28/1999 21:00,colorado springs,co,us,triangle,20,20 seconds,craft was seen hovering 100ft above the ground at the southeast corner of Powers and Platte at 9PM on 6/28/99 for about 20 seconds nort,7/5/1999,38.8338889,-104.8208333
6/28/1999 21:30,cedar park,tx,us,cylinder,2,few seconds&#44twice,Watching the full moon with binoculars(6/28/99 9:30 cst) I witnessed two objects cross left to rightsteady speedappeared close to the,10/2/1999,30.505,-97.82
6/28/1999 22:30,jasper  (5 miles s.e. from springfield&#44 or),or,us,triangle,3,aprox 3 sec.,From the north at aprox. 5 to 6 K&#39 level turning abruptly to a southerly dir. and an aprox. climb angle of 45 deg. &amp; went out of sig,7/14/1999,43.9966667,-122.905
6/29/1986 1:30,tampa,fl,us,light,17,17 sec.,i was looking up at 12 oclock with  city light polution around saw star sized lite going s. for aprox. 7 sec. 90 to lft. 3sec. n. 4se,4/26/1999,27.9472222,-82.4586111
6/29/1989 20:30,peterborough lakes (by kawartha; peterborough) (canada),on,,cigar,900,15 mins,I saw a light reddish in colour cigar shape moving slowly across the left horizon,1/5/2011,44.299005,-78.319655
6/29/1994 23:00,dull center (near bill) (north of douglas),wy,,light,300,5 minutes,Lights in shape of &quot;radio tower&quot; flew north,11/20/2002,43.331183,-105.139628
6/29/1995 22:45,mankato,mn,us,other,180,2-3 min,Ball lightning phenom,7/11/2000,44.1636111,-93.9991667
6/29/1996 21:00,east providence,ri,us,light,3600,1 hour and longer,A large white pulsating light,1/28/1999,41.8136111,-71.3705556
6/29/1996 22:00,east providence,ri,us,light,2700,45 min,Very bright white obj.  changes shape from circle to oval.  1/3 apparent diam of moon at closest approach.  Blinking lights at top.,11/2/1999,41.8136111,-71.3705556
6/29/1997 22:09,cave creek,az,us,triangle,900,15 minutes,One object triangular (V-shaped) with 3 yellow lights one at center of the V and one on each side at the end with red lights at each,1/28/1999,33.8333333,-111.95
6/29/1997 23:35,ballymoney&#44 antrim (uk/wales),,,unknown,180,3 minutes,glowing object moving east - west and upwad at high speed. no disernable shape it must have been about 20000 feet up it seemed to move,1/28/1999,55.064948,-6.498239
6/29/1997 23:45,farmington (approx. 3 miles n of),nm,us,unknown,180,3 minutes,Saw what appeared to be two satellites flying in formation but don&#39t believe that objects were satellites or airplanes.,11/20/2002,36.7280556,-108.2180556
6/29/1998 12:00,reno,nv,us,circle,2700,45 minutes,objects appeared stationary at first some floated like a hang glider. after about 15 minutes objects began to dart around sky and disa,11/21/1998,39.5297222,-119.8127778
6/29/1998 23:01,yakima,wa,us,fireball,10,10seconds,A large bright green was moving south. It was coming from the Ellensburg area. It was moving slow stopped in mid air then shot off a,2/22/2002,46.6022222,-120.5047222
6/29/1998 23:30,corbin,ky,us,unknown,300,5 minutes,it was seen in the clouds during a storm. a glowing cloud with bright round  lights not unlike car headlights were on some of the time.,9/19/2002,36.9486111,-84.0969444
6/29/1999 12:50,springfield,il,us,cigar,40,40 second&#39s,U.F.O Seen while driving home.,7/5/1999,39.8016667,-89.6436111
6/29/1999 16:00,navajo lake,nm,,cigar,30,30 seconds,shiney object moved across the sky horizontally &amp; did not appear to be a plane.,7/5/1999,36.953716,-107.44994
